1500 steps, 10000 repititions, hazard 0.030000, tr 24
food	1.000000	1.500000	2.000000	2.500000	3.000000	3.500000	4.000000	4.500000	5.000000	5.500000	6.000000
R1		40	36	38	35	41	38	41	41	41	39	39
R2		36	37	36	37	35	38	42	35	37	42	40
R3		41	31	42	38	40	31	43	38	41	39	38
R4		33	43	35	39	41	37	37	44	41	45	39
R5		39	38	37	33	33	37	45	33	37	40	41
R6		39	38	37	37	40	40	39	44	38	32	42
R7		40	39	37	39	33	42	38	37	39	36	35
R8		36	32	36	41	43	45	43	32	38	44	43
R9		37	32	43	41	40	37	38	40	38	34	39
R10		41	37	36	38	42	36	40	36	43	37	40
R11		39	40	41	41	35	40	32	36	42	39	42
R12		41	34	42	39	37	36	36	38	35	43	37
R13		39	37	43	41	42	35	39	39	43	35	31
R14		34	47	36	43	40	38	42	42	38	36	35
R15		40	40	40	38	40	41	35	38	37	33	41
R16		38	38	38	39	42	41	38	42	39	41	38
R17		43	36	45	37	42	39	43	37	35	40	35
R18		40	42	36	44	38	33	46	33	43	38	42
R19		38	35	37	39	36	35	37	36	39	36	40
R20		38	38	38	43	37	38	32	40	40	40	40
R21		36	43	36	41	41	39	43	40	43	41	40
R22		40	45	36	32	36	34	38	41	36	40	41
R23		42	36	36	40	38	36	38	39	40	37	41
R24		38	39	36	41	43	42	37	35	36	43	48
R25		40	39	39	33	34	37	41	42	33	39	38
R26		42	43	43	32	36	35	46	35	41	37	43
R27		40	30	40	40	36	38	40	34	40	38	33
R28		39	41	43	36	43	44	39	38	44	40	38
R29		36	39	38	39	34	38	40	36	39	40	42
R30		43	37	40	44	45	40	37	41	39	35	37
R31		41	37	36	36	39	39	39	40	40	38	46
R32		45	32	40	36	33	40	36	38	34	37	38
R33		34	38	42	42	36	37	41	40	35	37	38
R34		37	40	39	41	44	36	45	43	43	41	39
R35		41	38	34	40	33	40	39	38	41	37	41
R36		40	37	42	38	43	40	38	32	38	37	38
R37		40	39	37	39	36	33	35	39	41	42	37
R38		36	37	36	40	45	41	36	40	40	44	41
R39		34	36	40	41	41	38	38	37	40	36	39
R40		43	36	43	39	38	29	44	33	38	43	31
R41		36	39	40	40	39	41	38	31	41	39	43
R42		37	38	35	37	34	41	41	43	36	42	32
R43		37	41	34	35	36	40	41	39	41	39	42
R44		37	36	39	38	41	39	40	45	39	38	38
R45		35	32	39	36	39	40	39	32	35	40	42
R46		40	35	40	39	43	31	37	31	41	39	44
R47		40	43	36	38	39	38	34	35	40	44	34
R48		44	41	38	36	34	43	34	39	38	35	38
R49		41	42	40	36	39	42	42	38	35	38	39
R50		37	38	40	35	34	33	42	41	42	37	42
R51		46	43	42	35	46	43	34	35	36	45	37
R52		42	43	42	41	40	38	43	45	41	40	35
R53		37	43	45	39	36	40	42	36	40	45	39
R54		37	34	39	39	41	35	37	35	36	41	38
R55		40	46	41	36	40	43	38	40	39	40	40
R56		32	39	40	37	42	36	39	36	43	42	35
R57		36	41	42	39	40	41	37	39	39	39	36
R58		35	34	39	39	35	39	40	42	39	39	33
R59		40	42	32	40	38	43	40	36	42	38	38
R60		41	42	40	40	33	42	38	39	41	42	40
R61		32	37	38	36	38	42	35	38	36	33	39
R62		38	39	38	39	33	30	39	38	37	43	35
R63		39	43	45	39	42	38	37	40	36	38	36
R64		31	37	44	32	32	40	39	37	43	38	36
R65		41	36	41	37	41	37	36	33	41	33	37
R66		37	38	41	37	41	39	33	40	42	40	37
R67		35	40	44	39	45	41	37	39	36	38	40
R68		45	32	39	42	43	41	39	41	39	39	38
R69		37	37	31	39	35	40	41	41	39	37	42
R70		40	41	34	37	41	39	35	43	40	43	38
R71		40	38	33	39	39	35	42	36	34	32	42
R72		41	36	42	39	39	36	43	36	35	42	40
R73		34	40	38	39	35	40	35	37	43	39	40
R74		39	39	36	41	34	33	35	39	37	37	34
R75		42	36	39	32	40	39	45	41	32	45	40
R76		43	34	44	41	36	34	34	46	38	45	41
