1500 steps, 10000 repititions, hazard 0.030000, tr 24
T_reduce	1000.000000	2000.000000	3000.000000	4000.000000	5000.000000	6000.000000	7000.000000	8000.000000	9000.000000	10000.000000	11000.000000
R1		37	32	38	37	37	39	36	38	42	41	39
R2		35	37	41	42	36	33	36	43	43	39	33
R3		37	36	34	39	43	37	38	44	40	35	44
R4		35	41	40	39	36	44	36	38	42	35	39
R5		34	40	35	40	35	39	36	34	40	37	39
R6		42	34	43	39	40	37	42	38	44	41	36
R7		39	39	44	42	36	36	39	40	34	32	41
R8		35	38	40	36	39	40	40	42	38	37	43
R9		41	41	35	38	35	39	45	39	35	39	41
R10		34	37	43	37	42	35	37	40	42	40	39
R11		41	37	43	39	41	40	33	43	37	38	34
R12		39	39	37	35	38	36	39	38	37	40	39
R13		39	44	35	38	39	38	37	39	43	41	32
R14		37	32	39	41	38	44	42	36	43	38	38
R15		38	38	34	38	42	44	38	38	34	33	37
R16		40	34	32	32	38	37	39	42	36	42	31
R17		43	38	37	38	34	34	42	34	38	41	41
R18		37	33	41	31	36	41	32	45	43	40	38
R19		41	44	44	34	38	38	37	43	33	36	40
R20		35	32	41	42	40	41	36	42	35	39	36
R21		39	40	40	41	37	41	40	35	39	39	38
R22		40	39	41	43	37	39	36	34	37	41	39
R23		38	37	33	37	46	36	38	39	42	33	34
R24		36	41	41	38	36	36	36	39	39	40	37
R25		39	40	38	40	36	41	39	37	36	41	41
R26		43	40	43	40	32	35	39	38	41	38	36
R27		41	37	42	43	39	40	33	42	42	44	33
R28		38	41	38	38	40	37	39	42	41	39	37
R29		42	39	40	35	35	34	37	39	37	39	38
R30		38	38	39	38	41	37	38	40	42	35	46
R31		42	38	39	40	35	40	31	43	42	32	39
R32		38	36	37	39	39	40	40	36	43	44	30
R33		43	43	41	42	36	38	35	42	37	38	41
R34		37	42	36	32	40	34	34	39	38	39	46
R35		37	35	39	43	38	38	40	37	32	36	39
R36		42	35	34	40	43	40	35	43	31	39	34
R37		39	34	37	38	37	37	37	39	30	37	35
R38		41	40	36	35	41	38	39	39	43	37	40
R39		32	41	40	35	43	38	41	36	39	34	38
R40		37	34	42	39	38	34	39	39	37	39	36
R41		43	37	38	36	40	39	34	37	37	33	34
R42		38	41	42	36	42	38	33	36	37	35	44
R43		45	39	38	41	33	37	36	44	35	34	42
R44		37	37	39	30	41	36	42	34	39	40	40
R45		35	40	37	39	36	39	35	37	36	39	33
R46		36	39	39	43	40	36	35	39	35	39	33
