500 steps, 10000 repititions, hazard 0.007500, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R126		17	16	15	16	15	18	14	16	18	10	11
R127		17	18	18	12	15	18	14	8	18	10	11
R128		16	16	18	16	15	18	14	16	9	10	11
R129		18	18	18	16	15	12	14	16	18	10	11
R130		16	14	18	12	15	12	14	16	9	10	11
R131		15	12	15	16	15	18	14	8	18	10	11
R132		15	18	18	16	15	12	14	16	18	10	11
R133		16	14	18	16	15	12	7	16	18	10	11
R134		17	14	15	16	15	18	14	16	18	10	11
R135		17	16	18	16	15	18	14	16	9	10	11
R136		18	18	15	16	15	12	14	16	18	0	11
R137		19	16	15	16	15	18	14	8	18	10	11
R138		18	18	15	16	15	18	14	8	18	10	11
R139		17	18	12	12	15	18	14	16	18	10	11
R140		17	16	18	16	15	18	14	16	9	10	11
R141		17	18	15	16	15	18	14	16	18	10	11
R142		18	16	15	16	15	18	14	16	18	10	11
R143		17	18	18	16	10	18	14	8	18	10	11
R144		15	18	15	12	15	18	14	16	18	10	11
R145		18	18	15	16	15	12	14	16	18	10	11
R146		16	14	18	16	15	18	14	16	18	10	11
R147		16	18	18	16	15	12	14	16	18	10	11
R148		16	14	15	12	15	18	14	16	18	10	11
R149		17	18	18	16	5	12	14	16	18	10	11
R150		15	16	18	16	15	18	14	16	18	10	11
R151		17	18	18	12	15	18	7	16	18	10	11
R152		16	16	15	12	15	18	14	16	18	10	11
R153		17	18	15	16	15	12	14	8	18	10	11
R154		17	18	15	12	10	18	14	16	9	10	11
R155		16	18	15	12	15	18	14	16	18	10	11
R156		19	18	12	16	15	12	14	16	18	10	11
R157		15	16	15	16	15	18	7	16	18	10	11
R158		16	16	18	16	15	18	14	16	18	10	11
R159		17	18	15	16	15	18	14	16	18	10	11
R160		18	16	15	16	15	12	14	16	9	10	11
R161		15	18	18	16	15	18	14	16	18	10	11
R162		17	18	15	12	15	18	14	8	9	10	11
R163		16	14	15	16	15	18	14	16	18	10	0
R164		16	16	15	12	15	12	14	16	18	10	11
R165		15	18	15	16	15	12	14	16	18	10	11
R166		17	18	18	16	15	18	14	16	18	10	11
R167		18	16	15	16	15	12	14	16	18	10	11
R168		16	18	15	16	10	12	14	16	18	10	11
R169		16	18	18	16	15	12	14	8	9	10	11
R170		16	18	18	12	10	18	14	16	9	10	11
R171		15	18	18	16	10	18	7	16	18	10	11
