500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		13	12	15	12	10	0	7	16	9	10	11
R2		13	14	12	4	15	12	0	8	18	10	11
R3		9	12	9	16	15	6	14	8	9	10	11
R4		14	10	12	8	10	6	14	16	9	10	11
R5		12	12	9	8	5	12	7	16	0	10	11
R6		13	12	12	12	5	18	14	8	18	10	11
R7		8	12	9	12	10	0	7	16	9	10	11
R8		13	10	12	12	15	6	7	8	0	0	11
R9		14	10	12	8	15	6	7	8	9	10	0
R10		13	14	15	8	5	6	7	16	18	10	11
R11		14	12	12	12	10	12	14	8	18	10	11
R12		11	12	6	12	5	12	7	16	9	10	11
R13		13	14	12	4	15	6	7	8	9	10	11
R14		13	10	6	8	15	6	14	8	9	10	11
R15		10	12	15	16	15	6	14	8	9	10	11
R16		15	12	12	12	15	6	7	0	9	10	0
R17		12	10	12	12	15	12	7	8	9	10	11
R18		14	14	12	12	15	6	7	0	18	10	11
R19		13	14	12	12	10	12	7	16	9	10	11
R20		12	12	12	12	15	18	0	16	18	10	0
R21		11	12	9	8	10	12	7	8	9	10	11
R22		12	8	6	12	10	12	7	8	9	10	11
R23		11	10	9	16	10	18	7	16	18	10	11
R24		14	14	9	12	10	12	7	8	9	10	0
R25		11	10	15	12	15	18	14	16	18	10	11
R26		9	14	3	12	0	18	0	16	9	10	11
R27		12	12	12	8	10	12	14	16	9	10	11
R28		13	14	9	12	5	18	7	0	9	10	11
R29		12	10	6	12	15	12	14	16	9	0	11
R30		12	10	12	12	15	6	14	0	9	10	11
R31		14	12	9	16	15	0	7	8	0	10	11
R32		14	12	15	12	10	18	7	16	9	10	11
R33		13	12	6	16	15	12	7	16	18	10	11
R34		13	12	9	8	10	12	0	16	9	0	11
R35		12	16	9	12	15	6	14	16	9	10	11
R36		13	6	15	8	15	12	7	16	18	10	0
R37		12	14	12	12	15	12	14	8	9	10	0
R38		16	8	9	12	15	18	7	16	9	10	11
