10000 steps, 10000 repititions, hazard 0.007500, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		356	368	366	376	365	366	371	376	369	390	363
R2		358	382	366	372	370	384	378	376	360	360	363
R3		356	376	372	372	370	366	350	392	387	370	319
R4		356	382	369	368	370	372	371	376	360	390	330
R5		344	370	366	364	370	354	357	360	387	390	330
R6		359	368	390	364	375	372	357	344	369	370	341
R7		363	376	366	376	375	366	378	384	351	370	330
R8		365	366	375	360	380	384	385	392	369	370	319
R9		360	370	372	364	380	366	371	360	351	400	330
R10		367	366	375	372	370	396	364	336	378	400	352
R11		364	378	384	396	365	378	357	368	360	360	341
R12		363	352	360	364	365	366	378	376	396	390	330
R13		366	382	384	380	355	360	357	384	378	370	352
R14		371	366	375	380	360	366	364	384	396	370	330
R15		367	380	375	356	365	366	371	376	342	370	352
R16		371	376	375	372	370	372	399	360	369	340	319
R17		364	372	360	364	380	366	357	368	387	370	330
R18		365	358	369	364	390	396	357	392	360	360	319
R19		367	376	351	372	380	384	371	360	378	350	363
R20		355	378	381	356	385	366	364	352	396	350	363
R21		354	366	381	380	360	384	350	392	369	360	330
R22		359	372	360	356	360	354	371	376	378	320	341
R23		366	360	381	376	375	360	385	376	396	370	341
R24		362	362	369	364	350	354	378	384	396	390	341
R25		365	360	393	376	355	390	385	376	342	390	341
R26		364	374	384	352	370	360	371	384	396	380	319
R27		364	372	363	356	365	384	378	368	369	350	330
R28		366	370	366	376	365	390	385	400	351	380	341
R29		355	368	366	368	385	378	392	392	360	340	341
R30		360	362	369	360	380	384	378	344	396	370	352
R31		366	356	372	376	355	390	385	376	351	390	341
R32		359	378	366	388	355	378	371	392	369	390	374
R33		356	364	390	380	365	342	364	392	378	370	341
R34		359	370	366	372	380	390	371	376	378	350	352
R35		366	372	372	392	360	384	364	384	387	350	341
R36		354	368	366	392	380	360	378	336	378	350	352
R37		353	382	366	380	375	396	378	368	351	350	352
R38		365	380	381	364	365	384	350	392	378	380	330
R39		366	368	354	364	385	378	364	384	351	340	341
R40		361	372	372	380	380	378	371	368	387	360	330
R41		351	376	351	376	370	396	350	376	360	390	330
R42		359	376	375	380	375	366	378	368	351	380	341
R43		348	370	378	352	390	372	357	384	378	360	341
R44		351	364	357	384	370	372	350	384	342	370	363
R45		358	362	366	380	375	366	378	368	351	370	341
R46		353	370	372	388	365	384	378	368	378	360	363
R47		368	368	375	380	360	384	378	368	342	340	352
R48		356	370	378	364	370	366	385	368	369	390	319
R49		363	372	381	376	350	384	392	376	387	380	363
R50		362	362	372	372	375	384	371	392	369	380	330
R51		357	374	366	392	385	384	378	384	396	380	319
R52		367	362	366	352	380	378	378	360	369	370	330
R53		367	376	372	364	375	366	371	384	369	370	352
R54		365	356	375	368	370	360	385	368	378	380	352
R55		364	374	366	368	385	366	371	376	351	370	341
R56		354	374	381	368	370	372	392	368	378	360	352
R57		359	364	363	368	380	378	371	376	387	370	308
R58		348	368	375	384	375	372	385	392	387	390	352
R59		361	372	381	372	385	372	385	368	396	360	319
R60		367	384	366	376	355	384	364	360	387	330	330
R61		352	364	381	356	365	372	378	392	369	390	352
R62		354	362	369	364	385	354	357	384	360	390	319
R63		358	374	369	352	355	360	364	376	387	380	330
R64		360	350	375	356	375	378	378	368	378	410	308
R65		357	372	381	380	380	366	385	368	360	380	363
R66		365	366	378	360	395	372	378	384	378	360	352
R67		370	372	366	372	375	354	378	368	369	370	352
R68		349	366	360	356	395	396	364	392	369	380	319
R69		363	358	378	364	355	360	364	360	369	350	330
R70		362	382	369	356	380	390	357	376	378	380	319
R71		369	362	363	368	390	372	364	368	378	370	341
R72		360	378	372	372	355	378	392	384	396	350	297
R73		366	368	369	360	360	342	385	368	369	380	352
R74		361	376	357	384	380	372	385	384	378	400	341
R75		362	374	360	376	375	384	371	376	378	360	319
R76		364	374	354	360	370	366	385	376	369	390	352
R77		357	362	369	352	375	360	371	392	378	350	352
R78		359	370	378	376	375	390	378	360	387	400	363
R79		370	370	375	380	370	378	378	384	360	380	330
R80		352	374	354	380	365	378	399	376	369	370	352
R81		358	362	360	376	390	354	385	368	360	380	341
R82		362	364	381	372	385	372	385	360	351	350	352
R83		364	368	375	380	365	378	357	368	378	380	352
R84		361	360	345	376	365	360	385	360	369	350	352
R85		363	364	354	372	365	378	399	368	360	360	341
R86		360	370	378	368	370	378	378	384	360	400	352
R87		363	382	366	368	375	378	378	368	387	350	352
R88		357	372	384	384	385	396	357	360	396	350	341
R89		368	364	372	360	395	372	385	384	396	340	341
R90		357	368	375	368	365	384	364	368	360	370	330
R91		362	374	390	388	370	372	336	392	378	380	363
R92		373	372	375	372	380	360	364	376	369	370	330
R93		360	366	378	372	375	378	364	376	387	360	330
R94		358	374	378	372	355	354	371	376	378	370	352
R95		366	360	357	352	370	384	392	368	378	390	319
R96		369	362	375	376	375	360	364	360	369	390	341
R97		357	374	384	364	360	378	378	368	378	380	341
R98		361	376	381	380	385	366	364	392	369	380	363
R99		360	362	363	372	370	384	371	368	369	370	352
R100		361	372	372	364	380	372	357	368	351	370	319
R101		360	358	381	376	380	366	371	352	351	390	341
R102		362	370	366	380	380	384	378	376	369	380	330
R103		363	364	375	356	380	372	364	384	369	380	352
R104		363	374	375	372	380	348	385	384	378	390	319
R105		354	366	387	372	370	384	378	384	378	370	341
R106		365	360	363	380	355	378	364	360	378	390	330
R107		365	368	369	376	380	366	371	344	333	390	319
R108		362	364	369	360	365	372	378	368	360	320	330
R109		361	364	372	376	380	348	385	368	387	400	319
R110		357	382	357	360	370	360	385	368	369	400	341
R111		360	374	369	360	375	396	357	344	342	390	319
R112		358	382	375	380	370	366	378	376	351	360	330
R113		364	368	354	384	375	354	378	368	378	370	330
R114		358	372	357	372	360	378	378	376	378	360	341
R115		356	364	366	384	370	390	392	392	387	400	341
R116		357	372	375	368	375	378	385	376	360	360	330
R117		360	368	372	376	370	360	385	368	333	370	352
R118		357	370	372	384	365	354	378	368	369	390	341
R119		354	358	366	356	365	378	364	392	369	370	330
R120		364	374	384	380	360	372	371	352	369	380	341
R121		367	372	372	360	375	360	378	352	351	340	363
R122		362	374	381	376	375	372	385	384	378	350	363
R123		363	374	366	380	385	348	399	360	387	390	297
R124		352	374	351	376	370	360	378	392	387	350	352
R125		360	368	366	352	350	372	378	368	387	340	352
R126		350	360	363	356	375	372	378	384	369	370	341
R127		357	368	363	356	370	360	392	376	351	370	308
R128		356	370	366	352	360	366	371	376	387	370	341
R129		365	354	372	360	360	372	357	376	369	380	352
R130		362	358	375	372	365	378	378	368	378	380	363
R131		367	376	369	352	375	360	378	368	369	380	319
R132		362	370	387	364	360	378	364	352	360	390	297
R133		358	370	384	384	360	366	378	384	360	370	319
R134		370	378	363	364	365	366	385	360	387	380	341
R135		353	376	378	360	375	360	378	376	387	360	352
R136		369	366	363	348	370	378	350	360	387	360	330
R137		363	370	357	364	360	372	364	384	396	380	363
R138		351	364	372	380	370	384	378	352	387	390	341
R139		357	364	369	368	375	378	357	352	378	360	319
R140		367	384	384	376	360	360	378	376	360	380	352
R141		352	360	369	364	365	372	357	384	342	390	319
R142		361	384	378	368	370	378	371	368	378	380	363
R143		368	372	372	372	370	366	371	376	369	370	341
R144		361	372	372	368	370	360	378	360	369	360	308
R145		362	376	378	364	385	360	392	352	324	370	352
R146		362	358	363	384	365	384	378	344	378	350	341
R147		354	378	363	368	375	378	364	360	360	370	330
R148		360	368	372	372	370	360	371	376	387	360	330
R149		361	356	369	368	380	360	385	360	360	370	308
R150		364	368	378	376	385	366	357	376	369	360	330
R151		355	366	381	360	380	360	378	392	369	380	352
R152		360	364	369	384	380	360	350	376	369	380	352
R153		358	368	372	364	370	390	378	368	333	380	330
R154		353	374	381	364	390	384	371	360	378	360	341
R155		367	380	384	356	370	366	378	360	369	370	341
R156		363	366	369	360	385	366	385	384	369	370	330
R157		361	372	369	380	375	384	385	376	360	360	352
R158		361	360	369	356	390	372	378	360	369	370	352
R159		357	366	363	380	400	384	364	384	369	390	330
R160		364	374	387	368	385	372	371	368	342	360	330
R161		358	366	372	360	375	372	364	368	333	350	352
R162		364	362	366	360	375	384	357	384	396	380	330
R163		359	368	357	388	360	390	371	352	378	380	352
R164		362	368	375	384	370	354	371	376	360	390	341
R165		360	360	378	376	380	360	406	360	351	360	341
R166		363	368	363	360	375	372	364	376	396	380	330
R167		361	364	375	372	370	366	364	368	387	390	319
R168		358	374	375	352	370	366	378	360	378	380	330
R169		359	356	375	384	385	360	378	368	378	370	330
R170		369	370	369	372	385	342	364	352	369	400	319
R171		356	364	369	364	360	384	364	360	387	360	352
R172		357	366	378	368	370	384	378	376	369	380	352
R173		355	366	366	368	370	378	385	376	369	380	352
R174		353	372	375	372	370	372	378	368	378	340	341
R175		362	380	369	368	365	378	371	368	324	380	341
R176		354	366	366	364	385	366	343	376	387	390	341
R177		368	368	369	372	370	390	350	376	387	340	330
R178		361	362	366	372	360	354	371	336	369	380	319
R179		364	364	375	364	365	348	378	376	351	370	341
R180		366	364	357	376	375	372	371	352	369	370	374
R181		372	360	372	384	375	366	378	360	378	390	352
R182		372	366	375	376	370	336	378	352	396	390	352
R183		356	372	369	376	350	384	371	368	396	390	319
R184		357	368	381	380	360	366	371	352	369	390	341
R185		367	366	384	380	355	378	371	384	378	370	363
R186		362	376	378	372	375	378	385	384	360	360	352
R187		357	370	381	384	385	372	385	392	378	370	341
R188		364	368	354	352	370	390	364	376	378	370	374
R189		361	370	375	384	360	378	371	368	378	370	341
R190		363	356	354	364	370	366	364	352	351	360	319
R191		368	368	372	368	375	396	378	368	387	380	352
R192		359	366	375	368	370	372	371	368	378	390	341
R193		364	360	384	380	370	378	357	352	360	350	363
R194		357	370	381	352	365	366	385	376	378	390	330
R195		358	376	390	360	380	384	364	376	360	390	341
R196		351	372	372	372	380	366	392	360	369	370	341
R197		361	356	372	380	355	354	357	376	387	400	341
R198		360	368	366	384	375	390	385	360	369	380	330
R199		361	360	378	376	385	378	350	376	369	370	352
R200		355	374	351	388	375	360	378	384	378	350	286
R201		359	368	360	348	365	384	392	376	360	350	330
R202		361	374	387	376	375	378	371	384	378	360	363
R203		363	370	375	380	370	384	378	392	351	370	341
R204		361	368	366	348	360	336	364	344	387	380	341
R205		358	360	363	380	395	360	385	400	369	370	352
R206		358	378	366	380	370	390	371	368	360	390	352
R207		361	356	357	372	365	354	364	376	351	330	363
R208		362	380	369	360	385	360	364	320	378	370	341
R209		363	364	378	392	370	390	364	392	387	360	319
R210		368	382	372	356	355	396	378	384	378	360	330
R211		357	360	363	360	380	390	371	376	369	380	341
R212		361	362	360	364	360	384	385	384	360	370	308
R213		347	380	366	360	370	396	357	384	369	380	352
R214		357	368	378	380	395	378	378	400	378	370	352
R215		368	362	369	360	380	384	371	368	387	350	352
R216		368	352	372	364	390	360	350	376	378	390	308
R217		363	356	375	368	360	366	392	384	378	400	352
R218		353	368	357	376	370	378	350	360	360	380	330
R219		364	370	378	376	345	366	392	352	342	350	330
R220		361	360	360	344	385	390	385	376	351	390	330
R221		367	368	360	376	365	378	385	384	360	360	352
R222		365	358	369	368	375	372	371	368	360	380	363
R223		355	366	369	384	390	360	378	360	360	360	341
R224		355	372	381	392	370	354	371	384	369	360	330
R225		358	372	369	368	360	384	385	384	369	390	341
R226		364	378	378	364	365	360	364	368	360	390	319
R227		359	374	363	380	385	366	378	384	378	360	341
R228		370	368	372	360	385	372	399	344	387	360	363
R229		359	368	384	384	365	384	378	368	342	340	330
R230		372	360	381	356	370	372	364	392	387	360	352
R231		364	370	366	376	345	378	371	352	360	360	352
R232		360	368	381	368	355	366	392	360	387	400	341
R233		359	372	363	388	395	366	378	368	396	380	341
R234		361	356	381	380	380	402	371	376	369	350	330
R235		367	364	369	372	370	354	364	384	378	380	341
R236		360	364	378	380	370	348	364	376	378	390	341
R237		358	382	378	380	375	354	378	408	369	380	341
R238		355	370	375	372	365	360	385	360	369	390	341
R239		359	374	369	388	350	366	350	376	378	330	319
R240		356	366	369	388	360	336	357	376	360	390	352
R241		359	368	363	376	365	360	378	368	387	370	352
R242		363	370	357	364	360	390	357	384	369	370	352
R243		366	374	348	368	360	384	371	376	387	380	330
R244		366	378	369	376	385	354	385	368	351	350	352
R245		357	366	375	388	380	378	350	384	360	390	330
R246		352	372	372	372	375	372	357	368	378	370	330
R247		354	366	366	372	360	372	385	360	360	390	363
R248		359	370	360	368	390	378	350	360	369	380	341
R249		361	376	372	376	370	372	385	400	387	370	341
R250		363	378	363	364	370	384	364	360	378	370	341
R251		360	374	378	372	365	372	364	360	351	390	352
R252		366	376	375	380	375	378	378	376	396	380	352
R253		359	372	384	376	365	378	371	376	369	390	363
R254		373	368	366	372	375	366	385	368	396	370	363
R255		360	372	354	388	380	366	364	392	378	380	352
R256		357	364	366	380	365	366	378	352	387	360	330
R257		360	358	378	364	385	390	357	368	360	360	330
R258		361	370	381	368	370	384	385	384	360	380	341
R259		358	358	372	368	385	378	357	376	378	360	330
R260		362	370	363	372	370	366	315	384	333	350	330
R261		363	360	360	376	365	390	385	368	387	380	319
R262		359	366	372	384	380	366	392	352	387	370	363
R263		361	370	357	368	385	354	385	368	369	380	330
R264		358	370	366	376	385	360	385	392	387	370	341
R265		362	376	363	388	380	384	371	376	378	330	352
R266		363	372	384	356	370	384	364	376	369	390	341
R267		368	378	369	368	365	378	378	360	360	350	352
R268		359	370	378	384	375	366	371	384	369	350	330
R269		362	360	354	372	355	354	378	392	387	380	341
R270		361	366	363	364	360	384	392	392	378	380	341
R271		350	378	372	368	355	348	378	368	369	400	341
R272		353	362	375	360	380	390	371	360	369	350	330
R273		357	374	378	388	370	378	371	376	351	390	352
R274		363	370	363	364	365	372	371	360	378	390	352
R275		364	356	378	376	390	372	385	376	396	380	330
R276		360	356	369	396	335	372	371	392	378	380	363
R277		363	374	351	372	380	396	378	360	387	370	352
R278		359	370	378	368	365	396	371	368	378	360	330
R279		354	358	375	376	375	396	371	376	351	380	352
R280		362	366	366	368	385	354	371	384	369	330	308
R281		366	360	372	380	390	354	392	368	333	380	341
R282		354	378	384	364	370	390	364	384	369	390	374
R283		356	368	369	368	375	366	392	360	387	360	330
R284		362	370	366	380	390	360	350	384	369	380	352
R285		354	372	366	372	385	372	378	368	378	380	319
R286		354	376	378	372	365	390	308	392	351	350	330
R287		360	372	354	388	380	348	392	368	378	350	352
R288		359	380	387	376	375	354	378	376	369	380	363
R289		359	366	351	360	400	378	385	384	369	400	352
R290		363	362	360	372	370	378	357	352	378	370	341
R291		363	366	372	356	380	354	364	368	387	380	330
R292		358	362	363	380	365	372	371	352	387	370	352
R293		351	370	357	376	385	366	350	368	351	380	341
R294		361	368	372	380	355	402	392	392	378	370	330
R295		361	370	366	368	345	336	385	344	351	370	330
R296		358	364	372	380	365	360	371	376	396	380	352
R297		366	368	372	376	375	378	385	352	369	370	308
R298		358	366	366	380	365	372	392	360	387	360	352
R299		361	372	387	376	380	360	364	376	378	360	319
R300		357	376	381	388	365	348	343	376	351	390	330
R301		366	372	345	364	380	372	378	384	360	380	341
R302		366	374	360	368	380	354	378	344	369	380	341
R303		361	364	363	376	370	366	357	360	378	310	330
R304		361	362	372	368	395	390	357	376	369	380	352
R305		356	372	372	356	375	384	378	392	369	340	330
R306		356	366	348	368	365	384	371	360	378	390	330
R307		358	362	366	368	365	372	378	392	351	370	352
R308		364	366	360	376	385	366	364	384	387	350	330
R309		362	360	375	368	370	396	392	360	396	340	363
R310		362	360	378	376	365	366	364	360	369	380	319
R311		365	356	366	372	385	378	378	344	396	350	330
R312		361	358	372	368	385	384	378	360	360	370	363
R313		368	376	372	384	365	342	392	392	387	360	352
R314		354	370	372	372	370	390	357	360	387	400	330
R315		367	374	363	368	380	366	350	384	378	370	341
R316		362	364	369	352	370	378	385	376	378	390	330
R317		362	360	378	372	375	366	371	352	369	360	363
R318		357	374	369	364	385	372	350	368	351	360	341
R319		355	374	375	356	365	384	371	376	378	380	341
R320		363	374	387	368	360	384	385	376	387	380	352
R321		361	378	363	372	375	378	364	376	351	380	330
R322		358	370	369	376	385	378	357	384	369	370	341
R323		359	380	363	376	350	372	343	360	360	390	341
R324		357	364	378	364	370	384	378	360	369	380	341
R325		360	376	381	376	370	366	371	392	378	370	352
R326		359	380	363	388	365	378	371	376	387	370	352
R327		366	358	363	368	375	348	392	392	369	410	330
R328		371	370	375	384	380	384	357	352	369	400	363
R329		360	372	381	368	370	378	371	368	351	360	352
R330		355	372	360	388	375	384	378	376	378	390	352
R331		368	366	366	368	345	372	364	392	378	380	341
R332		358	374	366	380	370	390	371	360	360	360	319
R333		353	374	372	396	365	366	378	352	351	380	341
R334		360	372	375	380	370	348	371	368	378	390	341
R335		360	368	375	376	375	378	371	376	360	360	341
R336		360	366	375	376	365	378	371	384	378	370	352
R337		366	370	372	352	360	384	385	376	369	350	319
R338		348	372	372	376	370	378	364	360	342	360	341
R339		362	370	381	372	390	342	364	336	360	370	341
R340		366	382	369	380	360	354	378	368	360	370	330
R341		360	362	369	372	385	384	385	360	333	380	363
R342		358	382	384	368	385	342	371	376	369	380	341
R343		363	360	360	388	390	366	392	368	378	360	330
R344		363	376	360	392	375	372	392	376	351	370	330
R345		363	378	369	368	370	348	378	376	378	370	319
R346		366	368	363	372	355	360	357	360	360	350	341
R347		359	382	378	380	355	360	371	384	369	370	363
R348		356	378	375	368	370	378	364	328	378	350	319
R349		366	366	378	356	375	372	406	352	369	370	341
R350		366	360	357	360	365	360	364	384	387	370	330
R351		364	384	372	368	370	348	378	368	360	340	363
R352		353	366	375	376	355	384	392	344	351	400	363
