500 steps, 10000 repititions, hazard 0.007500, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		18	18	15	16	10	18	14	16	18	10	11
R2		17	14	18	16	10	12	14	16	0	10	11
R3		17	18	15	16	15	12	14	8	18	10	11
R4		18	16	18	16	10	12	14	16	9	10	0
R5		16	16	12	16	15	6	14	16	0	10	11
R6		18	18	18	12	15	18	14	16	18	10	11
R7		18	16	18	16	10	12	14	8	9	10	11
R8		16	16	18	16	15	18	14	8	18	10	11
R9		18	16	15	4	15	12	14	16	9	10	11
R10		17	16	18	16	15	18	7	16	9	0	0
R11		18	18	15	16	15	18	7	16	9	10	11
R12		18	18	18	16	15	12	14	16	18	10	11
R13		18	18	18	16	15	12	14	16	9	10	0
R14		14	14	15	12	15	18	14	16	9	10	11
R15		17	16	18	16	15	18	14	16	18	10	11
R16		16	18	15	16	15	18	14	16	18	10	11
R17		17	18	18	16	15	18	14	16	9	10	11
R18		18	14	12	12	10	6	14	8	18	10	11
R19		17	18	12	16	15	18	7	8	18	10	11
R20		18	16	15	16	15	12	14	16	9	10	11
R21		16	18	15	8	10	18	7	16	18	10	11
R22		14	18	18	12	15	18	14	16	18	10	11
R23		12	16	15	12	15	18	14	16	18	10	11
R24		16	16	15	16	10	18	14	16	18	10	11
R25		18	18	18	16	15	12	14	16	18	10	11
R26		17	16	15	16	10	18	14	8	9	10	11
R27		17	14	15	8	15	18	14	16	18	10	11
R28		16	18	12	16	15	18	7	16	18	10	0
R29		18	18	15	12	15	12	14	16	18	10	11
R30		17	14	18	12	15	18	14	16	9	10	11
R31		18	16	15	12	10	18	14	16	18	10	11
R32		18	16	15	16	15	12	7	16	18	10	11
R33		16	14	15	16	15	18	14	16	18	10	11
R34		18	18	18	16	15	18	14	16	9	10	11
R35		18	18	18	16	15	18	7	8	9	10	11
R36		16	16	18	12	15	12	14	16	9	10	11
R37		15	18	15	16	15	12	14	16	9	10	11
R38		16	18	15	16	15	18	14	8	18	10	0
R39		18	16	9	16	15	12	14	8	18	10	11
R40		16	18	18	16	15	6	14	8	18	10	11
R41		16	18	18	16	10	18	14	8	18	10	0
R42		17	18	15	16	10	6	14	16	18	0	11
R43		16	18	18	16	15	12	14	16	18	10	11
R44		17	18	15	12	15	18	14	8	18	10	11
R45		15	14	15	16	10	6	14	16	18	10	11
R46		17	16	15	16	15	18	14	8	18	0	0
R47		17	16	18	16	15	18	14	8	18	10	11
R48		16	16	18	16	15	12	14	16	18	10	11
R49		18	14	15	16	15	12	14	8	0	10	11
R50		16	18	15	8	10	18	14	8	18	10	11
R51		15	18	12	16	10	12	14	8	9	10	11
R52		18	16	18	16	15	12	14	16	18	10	0
R53		17	18	18	16	15	12	14	16	9	10	11
R54		17	18	15	12	15	18	14	16	18	10	11
R55		16	14	15	16	15	6	14	16	18	10	11
R56		18	18	15	16	15	18	14	16	18	10	0
R57		17	12	15	16	15	6	14	8	9	10	11
R58		16	16	15	16	15	12	14	8	18	10	0
R59		18	14	12	12	15	18	14	8	18	10	11
R60		16	18	18	16	10	18	14	8	9	10	11
R61		17	18	12	16	15	12	14	8	9	10	11
R62		17	14	15	16	15	18	14	8	18	0	11
R63		18	18	18	16	10	18	14	16	9	10	11
R64		16	18	15	16	15	12	14	8	9	10	11
R65		17	16	15	16	15	18	14	0	9	10	11
R66		15	16	18	16	15	18	14	16	18	10	11
R67		18	12	18	8	15	18	14	16	9	10	11
R68		19	16	15	16	15	12	14	16	18	10	0
R69		17	16	12	16	15	12	14	8	18	10	0
R70		17	18	18	16	15	18	14	16	18	10	0
R71		17	18	18	12	10	12	14	16	9	0	11
R72		17	12	18	16	15	12	14	16	9	0	11
R73		18	18	12	16	10	6	14	16	18	10	11
R74		16	16	18	12	15	12	14	16	18	10	11
R75		18	16	15	16	15	12	14	16	18	10	11
R76		18	18	18	16	15	18	14	16	9	10	0
R77		15	14	12	16	15	12	14	16	18	10	11
R78		18	16	12	16	15	12	14	8	18	10	11
R79		17	12	15	16	10	12	14	16	18	10	11
R80		17	18	12	16	15	18	14	16	18	10	0
R81		17	16	15	16	15	18	14	16	18	10	11
R82		15	18	18	12	15	12	14	16	9	10	11
R83		18	16	18	16	15	18	14	8	18	0	0
R84		19	14	15	16	10	18	14	16	9	10	11
R85		18	16	18	16	15	12	7	16	18	10	11
R86		17	18	12	16	15	18	7	8	18	10	11
R87		15	16	15	16	15	12	14	16	9	10	0
R88		16	16	15	16	15	12	14	16	18	10	11
R89		18	16	18	16	15	18	14	16	18	10	11
R90		16	16	18	16	10	18	14	8	9	10	11
R91		17	16	15	16	10	12	7	16	18	10	11
R92		15	18	12	16	15	18	14	16	18	10	11
R93		17	16	15	16	15	12	14	8	18	10	11
