500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		13	14	12	12	5	6	0	8	9	0	11
R2		12	10	9	8	10	18	7	8	9	10	0
R3		12	8	9	8	15	12	7	16	0	0	0
R4		7	10	12	4	10	12	7	16	0	0	11
R5		13	12	6	4	5	12	7	8	9	10	0
R6		11	10	9	16	10	12	7	0	9	10	0
R7		13	14	9	4	10	12	7	8	9	10	0
R8		9	12	15	8	15	12	7	0	0	0	0
R9		12	8	15	8	15	6	7	8	9	0	0
R10		13	8	12	4	10	12	14	16	0	0	0
R11		11	12	15	8	5	18	7	8	18	10	11
R12		14	12	12	4	10	12	7	0	9	0	11
R13		10	14	12	12	15	0	7	8	9	10	11
R14		12	12	9	12	15	12	7	16	9	10	0
R15		12	12	12	8	10	6	14	16	18	0	0
R16		11	14	12	16	5	6	14	16	9	0	0
R17		15	10	12	8	10	6	0	16	9	0	0
R18		12	10	9	4	15	6	7	8	9	0	11
R19		11	8	12	8	5	12	14	0	9	0	11
R20		11	10	6	16	10	0	7	0	9	0	0
R21		11	12	15	12	0	6	7	8	9	10	11
R22		14	10	9	12	10	12	0	8	0	10	0
R23		12	10	9	4	10	12	7	0	0	0	11
R24		15	10	12	12	0	6	14	16	9	0	0
R25		10	6	12	8	5	12	7	16	9	0	11
R26		14	14	12	4	5	6	7	8	9	10	0
R27		12	12	9	12	5	12	0	0	18	0	0
R28		12	6	12	12	10	12	0	8	9	0	0
R29		13	14	12	16	10	6	14	8	9	0	11
R30		15	12	15	12	5	6	7	16	0	10	11
R31		13	10	15	12	5	6	7	8	9	0	0
R32		14	16	9	12	15	12	0	8	9	0	0
R33		13	12	9	12	15	12	7	8	0	0	11
R34		10	12	6	8	5	6	14	0	0	10	11
R35		12	10	12	12	5	12	0	8	9	0	0
R36		8	14	6	16	15	12	7	0	0	10	11
R37		13	12	12	8	10	12	7	8	0	0	0
R38		12	14	9	8	10	12	14	8	9	10	11
R39		9	14	6	8	0	6	7	8	9	10	0
R40		14	10	12	4	0	12	7	0	9	10	11
R41		13	12	9	12	15	12	14	16	0	10	0
R42		13	16	12	8	10	12	7	16	9	10	11
R43		14	8	9	16	5	12	0	0	0	0	11
R44		13	8	9	8	5	12	0	16	9	10	0
