500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		12	16	12	8	10	6	14	0	18	10	11
R2		14	12	6	16	10	12	0	16	18	10	11
R3		12	10	15	12	10	12	14	16	9	0	11
R4		15	10	12	4	15	18	14	8	9	10	11
R5		12	12	12	8	15	12	7	8	0	10	0
R6		13	12	6	16	15	18	14	0	9	10	11
R7		15	12	12	16	15	6	14	8	0	10	11
R8		14	12	12	8	15	12	14	8	9	10	11
R9		13	12	15	16	5	6	7	16	18	10	11
R10		13	12	12	16	10	18	14	8	9	0	11
R11		11	10	9	12	15	18	7	16	9	10	0
R12		12	14	15	8	15	6	0	8	18	0	11
R13		12	8	15	12	5	12	14	16	9	0	11
R14		15	10	12	12	10	0	14	8	9	10	0
R15		13	12	6	12	10	12	7	16	9	10	0
R16		14	12	12	8	10	12	7	16	9	10	11
R17		12	12	12	12	5	6	14	16	9	10	11
R18		12	12	9	16	15	6	14	8	18	10	11
R19		9	14	12	4	10	18	14	16	9	10	11
R20		15	14	3	16	15	6	14	8	0	10	0
R21		13	12	12	8	10	6	7	16	9	10	11
R22		11	16	15	16	10	12	14	8	9	10	11
R23		13	8	15	16	10	18	14	8	0	0	0
R24		13	14	9	8	10	6	14	16	0	10	0
R25		10	8	12	16	15	6	14	8	18	10	0
R26		13	14	9	8	15	12	14	16	9	10	0
R27		11	14	9	8	10	12	14	8	9	10	11
R28		11	14	15	12	10	12	7	0	18	0	0
R29		14	12	9	8	15	6	14	16	9	0	11
R30		8	16	9	12	0	12	14	8	9	0	11
R31		6	10	6	4	10	12	7	16	9	10	0
R32		12	10	12	12	15	12	0	8	18	10	11
R33		10	14	12	8	15	12	7	16	9	10	0
R34		11	14	6	16	15	12	14	16	0	10	11
R35		10	16	12	8	10	6	7	8	18	10	11
R36		17	12	12	12	15	12	7	8	9	10	11
R37		10	12	12	12	5	12	7	8	9	10	0
R38		11	10	12	12	5	12	14	16	9	10	11
R39		13	14	15	12	10	12	14	16	9	10	11
R40		17	14	15	16	15	6	14	8	9	10	11
