500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		12	20	30	24	30	30	14	32	27	30	22
R2		10	28	24	28	20	24	28	24	27	20	22
R3		13	22	21	16	25	30	21	16	27	20	22
R4		11	26	30	24	25	30	14	32	27	20	33
R5		13	26	21	24	20	24	21	32	18	20	22
R6		14	18	30	32	35	24	35	24	18	20	22
R7		9	26	30	28	20	24	21	16	27	20	22
R8		14	20	33	20	20	30	28	24	9	20	11
R9		13	18	24	16	25	24	14	16	27	30	22
R10		10	18	21	16	20	24	28	24	27	30	22
R11		14	26	27	28	35	24	21	24	27	30	22
R12		13	26	18	24	15	30	21	32	18	20	22
R13		13	26	24	24	30	24	28	24	18	30	22
R14		10	30	27	32	20	24	14	32	18	30	33
R15		12	24	24	20	30	24	21	24	27	30	22
R16		16	22	24	20	25	24	14	24	18	30	22
R17		8	24	30	24	25	24	28	32	18	30	22
R18		12	32	24	20	25	18	21	32	27	30	11
R19		11	28	24	28	25	18	14	24	27	20	22
R20		12	20	24	24	25	18	28	24	18	30	11
R21		11	28	21	20	20	24	28	24	9	30	22
R22		9	26	21	28	20	30	14	32	27	30	11
R23		15	24	21	16	25	24	28	24	27	30	22
R24		10	22	24	28	25	24	21	16	9	20	33
R25		13	26	21	36	25	24	14	32	36	30	11
R26		15	24	27	20	30	30	28	24	27	10	22
R27		13	26	24	28	25	30	14	32	18	20	22
R28		12	28	27	28	20	18	28	32	27	10	22
R29		14	24	24	20	20	30	35	24	9	30	22
R30		11	24	30	24	25	18	21	24	9	30	22
R31		13	20	9	20	20	18	21	24	27	10	33
R32		10	26	21	28	25	24	21	8	27	30	33
R33		12	28	21	20	30	24	28	24	9	30	22
R34		18	16	15	28	20	18	21	32	18	10	22
R35		16	26	24	16	25	24	21	32	27	30	11
R36		10	20	30	24	30	18	21	16	18	30	11
R37		13	24	24	28	20	24	7	32	27	30	22
R38		15	24	24	24	25	30	21	16	18	30	22
R39		14	20	21	28	35	30	28	16	36	30	22
R40		12	26	27	20	30	24	21	24	18	10	22
R41		10	22	18	28	15	30	28	24	27	30	11
R42		12	28	24	28	20	24	14	32	27	20	22
R43		11	26	18	28	25	30	28	32	27	20	33
R44		13	22	24	24	30	18	7	16	27	30	11
R45		16	24	24	28	20	12	28	16	36	20	22
R46		12	18	18	28	30	30	21	16	18	20	22
R47		13	22	30	24	20	24	28	32	18	10	11
R48		14	24	24	24	25	24	35	24	27	10	22
R49		9	28	27	28	25	24	14	24	27	20	22
R50		13	24	21	20	25	30	28	24	18	20	33
R51		15	30	27	24	30	30	21	24	27	10	11
R52		14	30	30	12	25	24	28	32	27	10	22
R53		16	20	24	16	30	36	28	32	18	20	22
R54		10	28	27	20	25	30	21	8	27	30	22
R55		12	26	30	24	30	30	21	32	18	10	22
R56		14	24	21	28	30	24	21	16	27	30	33
R57		11	20	21	20	25	24	21	16	18	20	22
R58		16	20	27	20	30	18	28	8	27	10	0
R59		14	20	27	24	25	24	28	32	27	20	11
R60		11	24	27	20	30	24	14	24	18	20	11
R61		11	26	18	16	20	24	28	16	18	10	22
R62		12	32	21	28	30	18	14	8	36	30	11
R63		14	20	24	32	25	30	35	24	0	30	11
R64		9	20	30	24	20	24	21	24	27	30	22
R65		13	32	24	24	25	12	21	24	18	30	22
R66		14	24	24	24	20	18	35	16	0	30	22
R67		12	26	24	20	30	30	21	32	18	30	11
R68		11	24	30	28	30	18	21	24	18	20	11
R69		10	26	15	24	25	24	21	24	9	30	33
R70		10	30	12	28	35	24	14	24	9	20	11
R71		13	18	21	20	15	30	28	16	27	30	33
R72		16	22	27	32	30	30	21	32	27	20	11
R73		9	20	24	24	20	18	28	24	18	10	11
R74		13	20	30	28	25	30	14	16	27	20	22
R75		12	28	18	32	25	12	28	24	27	10	22
R76		15	20	27	28	25	30	35	32	18	30	22
R77		12	30	24	16	15	30	28	32	18	20	22
R78		13	26	30	24	20	18	21	24	9	10	22
R79		10	18	15	20	15	30	14	32	18	20	33
R80		9	24	30	24	25	36	28	24	27	30	11
R81		11	26	30	28	20	24	28	24	27	20	22
R82		12	28	15	32	20	30	28	32	27	20	22
R83		14	30	27	24	25	24	14	16	27	10	22
R84		13	16	24	28	20	30	28	16	27	20	22
R85		11	20	21	28	30	18	21	24	27	20	11
R86		13	28	24	32	25	24	21	8	9	20	22
R87		9	26	21	24	5	24	35	16	18	20	11
R88		16	16	24	28	30	24	28	16	27	30	22
R89		11	22	24	24	25	18	14	24	18	30	22
R90		14	20	30	28	20	12	28	16	27	20	22
R91		15	22	30	24	25	24	21	24	27	10	22
R92		12	24	27	20	20	24	28	32	27	30	22
R93		15	28	24	28	30	30	21	16	36	10	11
R94		12	22	21	32	20	24	21	24	18	30	22
R95		14	28	27	28	20	30	21	32	18	10	33
R96		13	18	21	16	15	24	21	24	27	20	11
R97		14	22	21	24	5	30	28	32	27	30	33
R98		12	22	27	28	30	30	14	16	36	20	22
R99		13	26	21	28	30	24	21	8	36	30	22
R100		12	28	27	24	30	18	28	24	27	30	11
R101		14	28	12	24	25	30	28	24	36	20	11
R102		15	20	24	24	30	18	28	24	9	20	22
R103		13	26	18	28	25	24	28	8	36	20	33
R104		11	24	18	20	30	24	21	32	27	30	22
R105		13	20	15	24	30	30	28	32	27	30	22
