500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		11	18	33	40	30	42	35	24	36	50	33
R2		11	26	42	28	35	42	35	40	27	30	22
R3		10	28	30	36	30	42	28	32	27	40	33
R4		15	28	39	40	40	42	35	24	36	40	22
R5		12	24	48	36	35	42	35	32	45	40	33
R6		16	24	27	32	30	42	42	40	27	40	33
R7		13	34	39	48	40	36	35	24	36	30	22
R8		9	32	33	32	30	42	49	24	36	30	22
R9		12	28	42	28	40	42	42	32	27	40	22
R10		10	30	42	44	50	48	35	32	36	40	33
R11		11	24	39	36	50	36	28	32	36	30	22
R12		11	28	36	32	40	36	28	32	36	40	33
R13		11	22	33	32	40	42	42	24	27	40	22
R14		17	24	39	24	30	30	35	32	27	40	22
R15		12	20	45	44	30	30	28	24	54	40	33
R16		12	32	30	36	20	42	35	32	45	50	22
R17		9	22	24	24	45	42	28	32	27	20	22
R18		14	20	36	36	40	42	28	48	45	40	22
R19		15	26	33	32	35	30	35	32	27	40	33
R20		13	26	42	32	35	36	49	40	45	20	33
R21		11	20	45	48	40	48	35	24	36	40	33
R22		14	26	27	24	45	54	28	40	36	40	11
R23		12	30	45	36	30	42	49	40	27	40	33
R24		12	22	21	36	40	36	42	32	27	40	33
R25		13	22	36	36	40	30	42	32	45	30	33
R26		14	26	30	36	35	48	35	24	45	30	22
R27		12	20	33	40	35	36	42	40	27	40	11
R28		13	28	36	40	35	36	28	40	36	30	33
R29		16	16	39	36	30	42	21	48	36	30	33
R30		13	32	42	32	45	30	42	40	27	40	44
R31		12	28	30	44	20	36	56	40	45	20	22
R32		14	28	36	28	30	30	49	32	36	30	11
R33		11	26	33	32	45	48	42	40	45	40	44
R34		9	28	42	40	45	42	35	32	45	50	33
R35		15	22	36	28	40	36	49	48	36	40	33
R36		11	22	42	28	40	48	42	40	36	30	22
R37		10	22	45	40	35	36	35	24	27	40	22
R38		13	24	39	48	35	42	42	48	36	30	33
R39		12	28	33	44	35	48	49	40	54	30	33
R40		11	30	42	48	45	30	21	24	45	30	44
R41		10	24	33	40	25	42	14	32	45	30	33
R42		14	24	36	36	40	42	42	40	45	30	44
R43		13	24	36	44	45	48	35	48	45	10	44
R44		14	26	39	40	40	30	42	32	27	30	22
R45		11	20	36	32	40	36	35	32	36	50	22
R46		12	28	30	24	35	30	28	24	36	30	33
