1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		34	36	48	44	45	42	42	40	45	50	22
R2		38	46	36	32	45	30	49	40	27	10	33
R3		42	42	39	36	40	42	49	40	27	40	44
R4		33	44	42	28	35	36	28	48	45	40	22
R5		42	40	51	36	45	36	42	48	36	30	11
R6		37	30	36	40	35	30	42	40	36	30	55
R7		37	32	42	40	40	42	42	56	45	30	44
R8		43	38	48	32	40	30	49	40	27	40	22
R9		41	44	45	48	30	30	35	24	27	30	22
R10		35	34	36	44	40	30	35	32	45	40	33
R11		37	46	30	36	35	42	35	24	36	50	22
R12		39	34	30	48	25	36	35	32	36	40	44
R13		38	44	36	40	50	24	49	32	45	40	44
R14		40	34	45	40	30	42	35	40	27	40	33
R15		39	36	30	40	45	36	21	32	27	30	33
R16		41	32	33	48	40	48	42	40	27	40	33
R17		35	42	33	40	45	42	35	32	27	50	22
R18		36	36	36	44	45	48	28	24	27	30	44
R19		38	28	36	28	30	24	28	48	54	30	33
R20		42	42	39	40	35	36	49	40	54	0	33
R21		33	38	48	44	35	42	49	32	36	30	33
R22		35	46	39	40	45	54	28	40	36	30	33
R23		33	38	33	36	35	30	35	40	36	30	22
R24		36	44	39	40	40	42	49	40	27	30	33
R25		41	34	39	36	35	36	42	48	45	30	44
R26		44	38	36	36	35	36	49	32	45	50	33
R27		28	36	51	48	50	36	35	40	27	40	22
R28		36	38	39	36	15	48	42	40	36	10	33
R29		37	36	36	36	40	42	49	40	27	30	33
R30		39	36	36	44	25	30	42	40	45	40	44
R31		37	44	39	40	50	42	49	48	54	40	33
R32		34	42	36	40	45	42	42	24	36	40	33
R33		37	44	36	40	25	42	42	40	36	40	44
R34		38	42	33	32	50	48	56	48	45	30	22
R35		41	38	33	36	45	42	35	32	45	40	33
R36		39	44	30	48	35	36	28	32	45	40	44
R37		41	42	42	40	30	30	42	40	45	30	44
R38		41	50	42	40	35	36	56	48	54	40	44
R39		39	44	36	40	40	24	28	48	36	40	33
R40		37	36	39	40	15	48	49	32	45	30	33
R41		41	44	33	44	45	36	42	48	27	40	33
R42		41	42	33	40	50	30	42	40	18	30	33
R43		39	36	42	40	40	36	42	48	45	40	33
R44		39	38	33	36	40	48	28	48	27	20	44
R45		33	42	39	44	45	42	35	56	45	40	55
R46		35	38	36	36	30	36	49	32	54	30	33
R47		40	36	36	36	40	48	42	32	27	30	44
R48		39	40	33	40	50	18	42	40	27	40	44
R49		38	38	39	40	40	42	42	40	45	50	33
R50		38	36	42	20	30	48	35	56	36	30	44
R51		40	36	42	32	45	30	35	40	36	40	44
R52		41	48	39	36	45	36	42	32	27	50	44
R53		42	30	27	44	45	36	28	40	27	50	33
R54		42	36	33	40	35	42	49	48	36	40	33
R55		36	36	36	52	40	42	49	32	27	10	44
R56		38	32	42	28	40	48	42	32	18	40	33
R57		41	38	39	32	40	42	35	48	45	50	33
R58		41	44	33	36	50	42	35	48	36	20	22
R59		36	40	42	44	40	24	35	40	18	40	11
R60		44	46	39	28	40	42	42	40	45	40	44
R61		37	40	33	32	40	36	28	32	18	50	22
R62		39	40	39	44	30	30	35	48	18	40	33
R63		41	42	36	28	45	48	42	40	45	40	33
R64		33	42	39	40	25	36	49	32	36	50	44
R65		42	38	48	24	45	36	49	24	27	40	22
R66		41	42	36	52	35	48	21	48	36	20	33
R67		44	46	33	36	35	42	35	32	45	30	33
R68		42	28	36	44	40	42	49	48	54	20	33
R69		36	38	39	32	45	42	49	40	36	20	22
R70		37	38	36	40	50	18	35	40	45	40	44
R71		44	40	30	32	40	48	42	40	54	50	33
R72		41	38	48	48	35	48	42	40	36	60	22
R73		39	40	36	40	35	42	42	40	45	30	33
R74		39	36	36	44	35	48	35	40	36	50	33
R75		41	40	45	36	40	42	49	24	45	40	44
R76		36	36	39	48	40	36	42	32	36	40	44
R77		37	46	48	40	35	36	28	32	27	50	33
R78		42	42	36	32	45	42	35	32	27	50	33
R79		35	34	36	44	35	48	42	16	27	40	33
R80		33	46	45	40	50	36	42	16	36	40	44
R81		38	44	42	44	35	36	49	32	45	40	22
R82		41	38	48	44	40	48	42	40	45	50	33
R83		36	36	39	36	40	30	42	48	36	40	33
R84		40	36	30	44	45	30	35	56	36	30	44
R85		37	32	45	40	35	30	28	56	45	40	44
R86		42	44	42	40	40	30	35	24	36	30	33
R87		41	44	48	40	30	18	35	24	36	30	33
R88		42	36	36	36	35	48	28	40	45	30	33
R89		39	50	39	44	40	30	42	32	27	40	22
R90		43	42	42	36	40	18	49	32	18	40	55
R91		41	42	36	40	40	42	42	48	45	10	22
R92		42	44	39	40	35	30	42	24	45	50	44
R93		40	40	39	40	35	42	28	32	45	50	44
R94		40	34	33	48	35	42	42	48	45	40	55
R95		33	42	39	44	40	30	35	40	27	40	33
R96		35	44	39	44	45	12	42	40	27	30	33
R97		39	38	36	44	30	36	35	40	54	50	55
R98		34	38	42	32	50	36	49	40	45	30	44
R99		35	38	36	40	45	24	49	48	45	40	44
R100		37	38	45	48	40	36	49	24	36	20	44
