1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R126		41	47	32	42	36	42	45	35	35	34	50
R127		37	40	42	37	35	43	30	44	45	37	45
R128		38	42	37	36	37	38	27	37	43	36	40
R129		42	39	38	39	45	40	39	37	42	31	47
R130		37	35	40	41	36	38	33	40	42	28	43
R131		38	39	41	38	36	47	44	41	44	39	28
R132		35	35	41	37	37	42	42	41	34	45	35
R133		38	42	28	36	34	35	35	41	33	41	32
R134		38	43	40	32	42	38	37	42	49	39	52
R135		46	38	44	30	35	29	36	48	46	34	39
R136		39	36	35	52	37	49	44	49	33	43	35
R137		39	40	45	33	36	41	45	38	48	42	46
R138		39	29	40	37	40	42	27	38	43	28	43
R139		40	44	46	39	39	36	37	49	47	46	36
R140		36	42	36	43	37	38	34	33	30	48	29
R141		40	31	38	37	46	38	36	37	39	36	44
R142		37	42	36	46	37	45	45	43	41	35	45
R143		39	39	46	36	37	44	45	44	52	31	33
R144		39	46	29	40	41	43	46	33	44	47	42
R145		40	36	43	44	45	41	29	39	36	39	40
R146		41	44	50	32	36	49	33	48	31	46	36
R147		39	43	48	38	39	43	38	45	40	32	46
R148		32	36	29	40	38	40	42	45	45	39	36
R149		42	37	36	39	30	39	35	35	35	52	39
R150		36	43	37	43	32	44	33	44	47	39	44
R151		41	45	35	43	45	40	36	40	37	39	38
R152		38	36	44	38	38	50	34	43	39	42	38
R153		39	35	37	35	47	40	42	48	44	36	48
R154		41	34	46	44	43	49	36	42	42	32	31
R155		37	38	48	38	40	40	34	31	40	44	44
R156		38	37	37	42	38	31	34	44	27	33	42
R157		38	35	34	42	45	44	41	47	44	37	32
R158		41	37	38	41	42	38	32	35	36	37	46
R159		41	39	35	39	30	42	36	38	40	45	41
R160		38	38	31	46	45	39	40	45	45	31	45
R161		43	40	41	42	40	38	40	37	41	50	29
R162		40	40	47	39	43	43	38	36	38	47	44
R163		39	42	40	46	37	37	38	41	46	30	35
R164		39	39	33	36	45	38	31	46	39	43	47
R165		41	44	33	46	40	39	40	34	43	40	38
R166		35	39	34	47	43	36	36	48	44	43	51
R167		36	32	44	36	46	38	38	34	45	39	43
R168		35	40	48	42	32	39	40	40	39	31	42
R169		34	34	34	35	41	38	41	44	37	33	39
R170		39	38	38	40	32	34	40	48	44	47	35
