500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		10	14	12	16	5	15	17	4	18	14	5
R2		8	14	12	8	10	16	17	9	13	13	18
R3		11	16	12	12	9	16	0	17	10	10	18
R4		13	10	12	12	4	16	17	13	14	7	10
R5		12	12	18	8	14	4	11	16	6	7	12
R6		14	12	12	12	5	15	17	6	18	14	9
R7		11	12	12	8	14	9	12	14	18	18	10
R8		12	12	9	12	14	15	11	17	18	9	4
R9		12	14	12	8	15	16	17	10	12	10	4
R10		12	14	6	16	19	10	4	13	17	11	12
R11		12	12	15	12	9	15	7	17	17	10	10
R12		15	14	9	12	9	10	16	5	15	14	14
R13		14	16	12	12	14	11	12	4	18	18	9
R14		12	10	9	12	9	12	7	12	12	11	8
R15		11	12	9	8	10	10	11	17	13	18	17
R16		12	14	9	0	10	15	16	13	13	18	11
R17		10	12	6	12	14	4	6	17	5	4	12
R18		12	14	15	8	4	10	4	9	18	4	13
R19		15	16	9	8	10	10	17	13	10	12	18
R20		13	8	12	8	10	9	11	11	18	8	5
R21		14	12	15	8	9	11	12	17	18	17	18
R22		11	10	9	12	15	10	6	10	4	11	13
R23		12	12	12	8	14	11	12	5	10	14	14
R24		12	10	9	12	9	16	17	6	9	14	18
R25		12	14	9	4	10	11	11	13	9	5	9
R26		14	10	12	8	14	15	17	17	0	0	13
R27		11	8	9	16	14	6	17	9	8	4	18
R28		13	12	12	12	19	11	12	12	12	6	18
R29		11	14	9	16	10	15	17	12	18	18	9
R30		15	14	12	12	9	16	12	17	12	16	14
R31		12	14	9	12	14	16	17	17	13	14	12
R32		14	16	15	16	10	15	17	5	18	9	10
R33		10	12	12	16	15	16	15	12	6	18	14
R34		11	14	6	16	14	15	16	12	5	18	9
R35		10	14	12	4	14	11	11	10	9	17	9
R36		11	18	15	16	14	15	13	17	9	14	13
R37		12	14	9	12	9	10	17	12	9	11	9
R38		16	14	15	12	14	10	4	17	18	14	5
R39		13	16	12	16	9	16	17	12	4	18	16
R40		11	10	15	12	14	11	7	12	18	13	11
R41		13	10	15	4	9	15	12	0	13	4	10
R42		11	16	15	12	5	15	12	12	10	4	12
R43		11	12	9	8	14	10	11	13	9	18	14
R44		14	14	9	16	5	11	11	12	5	14	5
R45		14	14	3	16	0	15	13	4	18	13	9
R46		13	14	15	16	15	10	6	6	13	4	10
R47		12	12	15	12	14	10	16	12	14	18	18
R48		15	14	9	12	9	16	16	12	18	18	9
R49		10	12	12	8	14	9	10	17	4	13	13
R50		15	10	12	16	10	11	7	11	0	9	11
R51		9	12	12	8	19	16	4	16	14	14	13
R52		11	12	9	12	14	14	10	7	18	18	10
R53		15	14	15	12	14	10	12	10	5	6	14
R54		12	16	12	12	9	16	11	13	6	0	14
R55		8	14	15	12	9	10	5	12	11	18	9
R56		9	12	15	12	14	10	13	12	17	5	18
