500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		11	10	9	12	10	12	14	16	0	10	11
R2		9	10	12	16	15	12	14	8	18	10	11
R3		9	12	9	4	10	12	14	16	9	0	11
R4		15	8	15	12	15	12	14	16	18	10	0
R5		12	8	12	8	10	18	7	16	9	0	11
R6		15	10	9	12	10	6	14	0	9	0	11
R7		9	10	9	16	15	6	14	0	18	10	11
R8		12	10	12	12	10	12	14	8	9	10	11
R9		14	12	12	16	5	12	14	8	18	10	11
R10		12	12	15	8	15	12	14	8	18	10	11
R11		13	10	12	16	5	18	7	16	9	10	11
R12		10	6	15	12	10	18	14	16	18	0	11
R13		12	8	9	16	10	12	14	16	9	10	11
R14		9	14	12	16	10	12	0	8	9	10	11
R15		13	16	9	8	15	12	14	16	9	10	11
R16		13	6	9	12	15	6	14	8	18	10	11
R17		14	14	9	12	15	12	14	8	9	10	11
R18		13	12	15	8	15	18	7	8	9	0	11
R19		12	14	15	12	15	6	14	8	0	10	11
R20		13	12	12	12	0	12	7	8	9	10	11
R21		14	12	6	4	10	12	14	16	9	10	11
R22		14	10	3	8	0	6	14	16	18	10	11
R23		14	14	18	12	10	6	7	8	9	10	11
R24		6	10	9	16	10	6	7	8	9	0	11
R25		13	10	15	8	15	6	14	16	18	10	11
R26		13	12	12	12	5	12	14	16	9	0	11
R27		10	12	9	16	10	12	14	8	9	10	11
R28		12	12	9	16	5	0	7	8	18	0	11
R29		10	16	15	12	15	12	7	8	9	10	11
R30		13	16	12	8	15	6	7	8	18	0	11
R31		15	14	15	12	5	12	7	8	0	10	11
R32		10	8	9	16	10	6	7	8	9	10	11
R33		10	16	12	12	10	12	14	8	18	10	11
R34		9	12	15	16	5	6	7	16	18	0	11
R35		11	12	15	12	5	12	14	16	9	10	0
R36		13	12	12	16	15	0	7	8	9	0	11
R37		13	16	12	12	10	12	14	16	9	10	11
R38		15	16	9	4	10	6	14	8	18	10	11
R39		14	14	12	16	15	6	14	8	18	10	0
R40		12	10	15	8	10	6	7	8	9	10	11
R41		12	14	12	12	10	12	14	16	9	10	11
R42		12	14	9	4	15	12	7	8	18	10	11
R43		12	14	9	12	10	12	14	16	9	10	11
R44		9	12	9	16	5	18	14	8	9	10	11
R45		14	12	15	8	10	6	14	8	18	10	11
R46		10	18	12	16	0	12	14	8	9	10	11
R47		8	8	12	12	10	12	14	16	18	10	0
R48		11	12	9	16	10	12	14	16	18	10	0
R49		12	16	12	12	10	12	14	8	9	10	11
R50		8	10	12	12	15	6	7	8	0	10	11
R51		11	10	15	12	15	6	14	8	9	10	11
R52		11	8	12	16	15	12	14	8	0	10	11
