500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R126		13	8	15	8	15	12	7	8	9	10	11
R127		13	12	12	8	15	18	7	16	9	10	0
R128		12	10	15	12	10	6	14	16	0	10	11
R129		11	16	12	16	10	12	14	8	18	10	0
R130		9	14	12	8	15	18	14	8	9	10	0
R131		7	14	15	16	15	12	14	16	18	10	0
R132		13	16	12	12	15	12	14	8	18	10	11
R133		12	8	15	12	10	6	14	8	9	10	11
R134		12	8	15	16	15	18	14	8	18	0	11
R135		11	12	18	12	5	18	14	8	9	10	11
R136		13	16	15	12	5	18	7	8	9	10	0
R137		13	14	6	12	10	12	14	16	18	10	0
R138		15	10	12	8	5	6	7	0	9	10	0
R139		8	14	12	8	10	18	14	0	18	10	11
R140		10	12	12	4	10	12	14	16	9	0	11
R141		14	16	12	16	10	18	14	16	0	10	11
R142		12	12	18	8	15	12	7	8	9	10	0
R143		12	16	15	12	10	12	7	16	9	10	11
R144		12	14	9	12	10	12	0	0	18	10	11
R145		13	10	12	8	15	18	0	0	9	10	0
R146		13	10	12	8	15	12	7	16	9	10	11
R147		11	10	12	12	15	18	14	0	18	10	11
R148		13	14	9	12	10	18	7	8	18	10	11
R149		7	14	12	12	5	6	14	8	18	10	0
R150		10	16	12	12	10	6	14	8	18	10	11
R151		9	14	15	8	15	12	14	0	9	10	0
R152		11	10	15	8	15	18	7	8	9	10	11
R153		12	16	12	12	5	18	14	8	18	10	11
R154		12	12	6	16	15	6	14	8	18	10	0
R155		10	8	9	12	15	18	14	16	18	10	0
R156		9	12	18	16	10	12	0	8	9	0	0
R157		13	10	15	8	10	12	14	8	9	10	11
R158		14	14	18	16	10	12	14	8	9	10	11
R159		13	14	6	12	15	12	14	8	9	10	11
R160		14	14	15	16	15	12	0	8	9	0	11
R161		12	14	12	8	15	18	7	16	9	10	0
R162		13	12	9	8	10	12	7	16	9	10	11
R163		10	14	18	12	15	12	7	8	18	10	0
R164		14	12	15	12	15	18	7	16	9	10	0
R165		12	12	12	12	15	12	14	16	18	10	11
R166		9	12	6	12	15	0	7	8	9	10	0
R167		15	14	12	12	5	0	14	16	18	10	11
R168		10	10	9	8	10	12	7	8	9	10	0
R169		16	10	18	12	10	12	14	16	9	10	11
R170		12	8	9	16	10	12	7	16	9	10	0
R171		8	14	12	12	10	12	7	8	9	10	0
R172		12	14	12	8	15	12	7	16	18	10	11
R173		11	16	6	4	15	18	14	16	9	10	11
R174		12	10	15	12	15	12	14	16	9	10	11
