1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R1		34	38	39	32	35	36	42	40	54	50	33
R2		43	46	33	52	45	30	56	32	36	40	22
R3		38	36	36	48	40	24	49	24	36	30	33
R4		40	28	36	40	45	24	35	40	45	30	22
R5		38	38	33	44	35	18	49	40	27	50	44
R6		39	36	42	40	35	36	35	32	45	40	22
R7		40	36	36	44	50	48	28	32	45	30	22
R8		35	48	33	40	40	54	35	40	27	30	44
R9		38	38	33	40	40	24	14	48	45	40	44
R10		37	38	39	40	45	30	49	48	18	40	33
R11		34	36	42	48	50	48	21	40	45	20	33
R12		43	38	33	44	40	30	35	24	18	30	33
R13		36	42	45	40	40	36	49	40	45	30	44
R14		39	42	42	44	40	24	42	40	18	20	22
R15		41	34	48	44	25	30	35	40	27	50	33
R16		45	42	36	44	35	30	42	40	27	40	33
R17		34	40	39	40	50	36	35	32	45	40	44
R18		38	42	39	44	35	42	21	24	45	40	33
R19		38	40	36	40	45	42	35	40	27	40	44
R20		39	28	36	36	35	48	35	40	36	30	44
R21		41	36	36	36	45	24	49	48	45	40	44
R22		39	38	42	48	30	36	49	24	36	40	22
R23		41	32	36	36	35	30	21	32	45	30	44
R24		35	44	48	44	35	48	49	32	45	40	33
R25		43	32	51	44	30	36	35	24	36	40	44
R26		38	30	39	32	40	36	49	48	36	30	22
R27		42	40	36	28	40	36	21	40	27	40	11
R28		32	38	48	44	25	54	49	48	18	20	22
R29		35	32	42	36	35	42	42	40	45	40	33
R30		38	44	39	44	40	48	35	24	45	30	55
R31		36	42	36	40	45	36	42	24	36	30	22
R32		37	46	36	44	35	42	42	56	18	40	33
R33		33	36	51	44	35	24	35	32	45	30	33
R34		42	36	36	32	30	42	35	48	36	30	33
R35		41	38	42	44	55	42	35	48	36	30	33
R36		38	46	33	48	45	48	42	24	45	30	33
R37		35	40	45	48	50	36	49	40	36	30	44
R38		31	42	42	40	35	30	42	24	45	50	33
R39		36	46	45	32	50	36	35	40	27	50	33
R40		32	34	39	32	45	24	56	56	18	40	44
