1500 steps, 10000 repititions, hazard 0.030000, tr 24
s-d predation	0.100000	0.200000	0.300000	0.400000	0.500000	0.600000	0.700000	0.800000	0.900000	1.000000	1.100000
R1		43	42	24	33	27	33	9	25	18	6	30
R2		18	42	18	33	33	34	35	18	27	18	15
R3		41	26	44	9	43	16	26	27	42	16	26
R4		42	44	42	40	24	24	24	22	15	25	27
R5		44	52	42	35	23	43	33	0	44	18	6
R6		33	34	25	16	26	16	0	16	26	23	22
R7		42	43	59	27	30	43	34	34	7	26	33
R8		51	25	42	33	31	34	24	16	43	27	9
R9		43	33	31	26	27	43	32	25	24	9	34
R10		35	43	34	17	16	8	34	35	16	40	25
R11		33	41	24	48	34	43	42	34	43	16	26
R12		24	49	33	49	41	33	26	23	44	34	35
R13		49	34	34	40	25	9	24	33	22	26	18
R14		48	31	49	44	27	34	24	18	9	49	42
R15		33	24	40	32	16	40	18	16	31	13	0
R16		42	34	24	25	34	44	17	9	33	35	35
R17		43	43	36	34	27	24	41	30	16	33	24
R18		34	49	33	7	42	34	15	41	24	40	18
R19		41	26	48	7	33	33	18	18	25	50	18
R20		24	34	18	48	34	25	25	31	30	18	9
R21		33	49	27	26	33	42	27	24	25	25	26
R22		32	40	26	26	43	24	15	18	34	31	16
R23		42	34	41	25	26	51	15	42	35	16	16
R24		42	43	32	49	35	18	9	15	15	18	16
R25		51	34	34	34	33	13	34	34	35	33	34
R26		51	34	42	44	35	24	51	16	33	27	18
R27		41	51	25	18	27	48	26	25	42	24	22
R28		33	18	24	42	16	24	18	26	16	17	39
R29		18	32	31	17	43	18	32	16	18	24	8
R30		25	48	26	34	32	25	17	35	24	9	16
R31		34	41	51	33	34	41	21	34	32	23	17
R32		43	48	42	41	27	51	27	25	17	27	22
R33		25	39	16	24	34	18	9	25	16	9	17
R34		43	41	48	49	31	40	32	27	18	15	42
R35		40	15	40	25	25	15	33	25	16	27	35
R36		31	42	35	42	25	44	27	41	24	33	17
R37		36	43	42	25	34	14	39	42	27	16	35
R38		42	33	17	51	41	34	25	18	16	9	26
R39		23	42	43	33	25	7	42	43	18	9	34
R40		34	16	25	41	27	41	34	40	18	34	24
R41		22	42	39	41	25	34	34	33	25	8	34
R42		57	50	18	36	51	18	34	26	16	32	18
R43		42	51	34	49	27	27	51	33	32	8	9
R44		25	42	27	27	52	24	24	40	25	27	9
R45		41	42	25	27	34	18	33	27	25	17	15
R46		34	33	32	51	34	18	25	25	24	41	16
R47		40	31	35	36	26	49	17	33	24	42	15
R48		35	43	42	33	44	18	25	9	48	26	31
R49		34	40	23	42	34	16	9	18	35	8	15
R50		49	33	42	44	42	26	9	26	17	33	8
R51		36	25	34	14	25	18	25	40	22	7	32
R52		27	34	45	17	33	25	24	25	33	34	41
R53		24	25	33	27	42	9	26	24	18	17	27
R54		33	34	17	51	33	24	24	26	25	18	6
R55		33	35	41	17	33	36	23	26	25	24	27
R56		35	42	25	33	24	51	26	32	24	34	16
R57		34	42	33	50	43	26	0	9	9	18	26
R58		48	34	16	25	34	44	13	31	25	16	25
R59		25	14	25	34	51	24	27	16	9	16	18
R60		42	43	33	50	15	13	33	33	16	33	24
R61		36	40	32	24	33	44	9	9	23	27	34
R62		34	33	44	24	42	18	18	43	16	18	25
R63		42	34	24	27	43	31	17	25	32	25	26
R64		34	26	49	33	25	23	24	18	18	27	32
R65		24	36	43	32	34	25	42	41	24	33	26
R66		24	34	51	50	18	41	0	25	33	27	32
R67		35	34	35	41	43	42	26	25	25	25	18
R68		34	33	33	34	33	14	17	36	26	15	9
R69		34	44	51	34	25	25	24	42	17	35	16
R70		33	25	36	16	25	35	33	43	34	17	35
R71		32	23	35	26	25	24	7	24	42	27	26
