1500 steps, 10000 repititions, hazard 0.030000, tr 24
s-d predation	0.100000	0.200000	0.300000	0.400000	0.500000	0.600000	0.700000	0.800000	0.900000	1.000000	1.100000
R1		50	35	25	25	45	35	35	40	25	35	35
R2		45	40	25	45	30	35	45	25	25	35	35
R3		30	45	40	40	25	25	40	40	15	40	25
R4		25	30	40	35	45	35	35	30	20	40	25
R5		40	30	25	35	25	20	45	35	40	20	25
R6		35	30	40	40	45	35	50	35	35	15	20
R7		30	25	35	35	30	45	40	45	35	45	35
R8		45	30	55	25	40	35	25	40	35	30	25
R9		40	35	30	40	35	40	25	35	30	20	30
R10		30	40	35	45	20	10	50	30	30	35	30
R11		15	30	35	40	35	30	35	40	30	25	15
R12		40	35	35	40	30	35	25	35	35	35	15
R13		50	40	30	35	35	30	25	15	35	45	30
R14		35	25	30	30	40	10	40	35	20	15	20
R15		35	30	40	35	30	35	40	30	35	30	30
R16		30	30	40	40	30	30	40	30	30	45	25
R17		40	40	30	35	40	25	35	35	40	35	25
R18		30	35	30	35	25	40	40	20	25	30	25
R19		45	45	40	35	40	40	35	35	40	30	20
R20		40	50	45	25	35	30	30	40	30	30	40
R21		45	35	30	40	30	40	20	25	25	30	25
R22		45	50	45	30	45	30	40	25	30	30	25
R23		40	40	35	40	35	40	10	15	40	30	15
R24		50	55	40	35	50	25	25	30	30	30	30
R25		15	40	35	40	50	40	40	25	40	45	25
R26		55	30	35	35	35	25	40	35	35	40	25
R27		30	45	35	40	45	40	25	25	30	40	35
R28		50	30	30	40	30	30	30	15	40	30	35
R29		35	40	25	40	45	25	35	25	40	30	35
R30		35	45	30	35	35	40	25	35	30	25	35
R31		50	50	40	20	35	20	35	30	30	25	20
R32		20	40	45	35	30	30	25	30	35	15	25
R33		40	35	35	30	45	20	35	30	40	25	40
R34		30	35	45	30	45	20	35	25	35	25	25
R35		50	40	35	50	30	35	25	20	25	30	25
R36		30	35	40	45	30	30	40	35	25	20	30
R37		45	35	35	25	35	50	40	30	25	30	50
R38		40	40	40	45	25	40	45	25	25	35	20
R39		35	30	45	25	35	35	30	25	25	40	35
R40		40	40	40	30	35	35	35	30	35	25	20
R41		45	35	30	25	30	50	10	35	20	30	20
R42		45	35	40	30	35	25	35	45	30	35	15
R43		40	35	35	35	40	45	20	35	25	35	40
R44		30	55	40	30	30	40	35	20	35	30	35
R45		50	30	35	40	40	25	20	30	30	15	35
R46		35	35	35	45	35	30	30	30	20	30	15
R47		35	35	35	25	30	30	30	30	25	35	25
R48		40	35	40	25	30	40	45	30	25	45	30
R49		35	40	25	40	35	35	30	40	30	15	30
R50		50	40	40	30	40	30	25	30	25	35	15
R51		40	45	30	45	35	30	30	25	40	40	25
R52		45	30	30	35	35	30	30	45	30	35	20
R53		40	35	25	40	35	35	30	25	40	35	30
R54		45	40	40	35	40	35	25	25	25	40	35
R55		45	50	50	35	30	45	40	30	30	20	30
R56		30	40	35	35	20	35	30	30	20	35	15
R57		25	45	25	30	25	30	35	40	35	25	15
R58		40	35	20	45	25	45	45	35	25	20	25
R59		50	30	35	25	35	35	40	25	20	30	30
R60		50	40	35	40	35	40	30	30	30	30	30
R61		45	40	40	45	25	35	35	15	25	45	25
R62		30	30	35	35	30	45	30	25	30	35	25
R63		30	30	45	40	35	30	30	30	30	30	25
R64		45	35	30	35	35	25	20	35	25	20	30
R65		40	35	30	25	20	40	35	35	30	30	40
R66		45	40	40	35	40	35	30	40	30	35	30
R67		40	40	40	45	20	35	35	20	30	25	20
R68		45	40	30	20	30	35	35	35	35	15	35
R69		40	35	45	40	50	40	30	40	30	40	15
R70		40	50	40	40	30	30	45	45	30	35	30
R71		40	50	25	20	45	30	30	35	45	30	15
R72		40	40	45	40	15	25	30	35	20	20	25
R73		35	35	25	30	25	40	30	35	30	30	25
R74		50	50	40	30	35	35	45	25	35	20	30
R75		35	40	20	45	20	35	30	35	40	25	40
R76		50	35	45	35	30	35	30	40	25	40	25
R77		40	30	25	25	25	35	15	40	35	25	35
R78		40	50	25	10	25	40	20	50	20	25	25
R79		40	25	40	45	30	20	25	20	30	30	30
R80		35	40	45	25	30	30	20	30	40	25	25
R81		30	45	35	30	35	25	35	20	40	30	30
R82		45	35	30	35	30	40	45	25	30	40	30
R83		40	35	55	40	50	30	20	30	25	30	45
R84		50	40	45	40	40	35	40	35	50	45	40
R85		45	40	35	15	40	35	40	40	15	25	30
R86		40	40	35	25	35	35	35	25	30	30	35
R87		25	40	45	35	25	35	35	30	25	30	25
R88		30	40	35	50	30	30	35	30	25	30	25
R89		25	35	35	40	30	30	15	35	25	35	35
R90		30	45	35	40	35	35	40	35	50	25	25
R91		30	20	35	45	25	25	25	35	35	40	10
R92		45	35	40	35	40	30	45	35	40	20	20
R93		35	35	30	35	30	40	35	25	35	20	35
R94		35	25	30	40	35	30	35	35	35	40	20
R95		35	30	40	40	50	45	35	35	25	25	25
R96		25	40	40	25	50	30	20	25	20	20	40
R97		35	35	35	35	25	50	20	40	25	35	25
R98		30	45	30	45	40	50	35	35	30	30	20
R99		50	35	45	55	45	35	35	40	35	30	30
R100		40	40	25	35	20	25	35	40	40	25	20
R101		40	40	30	25	25	35	40	35	30	25	20
R102		35	35	45	25	40	40	35	20	40	35	40
R103		45	45	45	40	30	45	35	35	30	30	30
R104		30	30	45	40	35	35	30	45	30	25	20
R105		35	25	30	40	35	30	40	20	50	10	35
R106		35	40	55	35	35	40	40	25	30	20	55
R107		35	30	35	25	25	45	35	30	35	25	25
R108		30	35	30	45	35	35	30	20	25	30	35
R109		35	40	35	20	30	35	40	20	25	35	25
R110		40	50	30	40	35	30	35	45	30	35	30
R111		35	40	45	30	35	35	40	25	30	45	40
R112		40	30	30	45	30	20	25	35	35	35	20
R113		30	45	35	30	30	35	20	25	25	35	35
R114		30	35	35	45	35	30	30	25	40	25	30
R115		40	35	35	30	35	30	25	25	35	35	40
R116		45	25	45	35	25	25	25	20	30	25	40
R117		50	35	40	45	30	30	25	25	40	25	35
R118		30	35	30	35	35	35	20	25	25	40	45
R119		40	45	30	30	25	35	35	15	15	40	25
R120		50	30	35	40	30	35	30	50	25	20	25
R121		45	25	30	30	40	30	40	30	40	15	35
R122		40	30	30	30	35	30	45	25	30	40	30
R123		30	30	35	45	35	30	20	35	20	25	25
R124		40	35	40	40	45	35	20	30	35	30	20
R125		30	40	40	40	20	30	40	30	25	25	25
R126		35	35	25	35	30	30	25	35	35	30	30
R127		30	55	45	40	40	30	40	35	25	25	30
R128		35	45	45	35	40	25	30	30	35	40	20
R129		45	35	35	35	35	30	35	30	20	30	35
R130		50	30	25	30	35	40	30	30	35	35	25
R131		50	35	30	35	35	25	30	20	35	30	20
R132		25	25	45	45	30	35	25	40	30	20	30
R133		35	45	45	35	50	35	30	35	30	35	10
R134		35	30	30	45	20	25	35	35	30	40	30
R135		30	40	30	35	40	40	30	30	35	20	20
R136		35	40	25	35	20	35	25	35	25	35	35
