1500 steps, 10000 repititions, hazard 0.030000, tr 24
s-d predation	0.100000	0.200000	0.300000	0.400000	0.500000	0.600000	0.700000	0.800000	0.900000	1.000000	1.100000
R1		34	32	31	39	38	42	39	38	34	35	38
R2		38	40	41	34	36	34	36	41	40	41	38
R3		34	41	40	38	36	40	41	33	39	27	33
R4		44	33	43	41	42	32	31	35	37	40	43
R5		35	36	39	39	35	35	34	31	35	35	38
R6		39	40	38	33	36	37	34	39	35	39	34
R7		40	40	40	36	31	39	37	35	37	40	38
R8		40	35	39	40	40	39	42	35	41	40	45
R9		36	34	36	29	37	37	44	39	32	38	36
R10		40	36	35	38	35	38	34	30	38	38	44
R11		37	35	38	37	40	38	30	38	36	32	35
R12		40	39	34	36	38	42	39	43	37	40	40
R13		38	40	39	39	38	37	38	38	39	39	37
R14		40	35	33	36	35	38	35	41	35	37	34
R15		40	40	32	36	36	42	40	37	36	34	43
R16		42	33	38	41	43	41	37	41	32	41	37
R17		35	38	39	40	37	40	37	38	39	29	38
R18		42	38	41	36	32	32	36	34	29	38	35
R19		41	34	42	36	31	40	44	39	39	32	40
R20		30	39	32	39	37	39	33	39	40	42	33
R21		39	41	36	36	37	37	34	41	40	37	40
R22		43	41	38	39	35	36	39	32	35	37	38
R23		38	35	42	38	40	43	40	46	37	33	35
R24		29	40	40	34	41	40	38	37	33	30	38
R25		40	42	38	35	39	41	40	37	33	36	36
R26		34	37	35	40	41	35	32	34	35	36	37
R27		39	40	36	38	39	36	36	42	31	36	40
R28		43	39	42	37	37	36	37	39	40	37	36
R29		39	39	42	36	42	44	39	40	38	35	37
R30		37	44	41	37	39	35	32	38	36	35	24
R31		35	42	36	38	38	42	37	33	37	39	32
R32		39	37	40	34	43	42	34	34	42	30	32
R33		31	34	28	41	36	40	35	37	41	41	36
R34		38	40	40	35	38	41	39	42	36	34	39
R35		41	42	38	38	39	38	31	40	36	36	34
R36		42	36	35	37	43	34	41	35	36	30	36
R37		37	37	38	43	39	40	36	33	36	39	35
R38		44	42	37	37	41	34	40	38	34	30	32
R39		39	37	44	41	38	36	40	36	33	39	35
R40		39	37	36	35	41	37	35	30	38	35	39
R41		42	44	38	34	41	28	37	41	32	31	41
R42		41	36	39	38	36	35	41	36	36	36	44
R43		38	42	40	39	41	41	35	37	35	36	38
R44		41	38	38	41	36	35	38	36	41	39	41
R45		41	31	37	37	39	29	31	38	38	36	37
R46		44	37	37	36	42	36	42	45	41	41	32
R47		37	34	40	40	44	37	42	39	35	41	34
R48		36	35	39	35	36	31	35	39	35	35	39
R49		36	41	35	37	38	39	40	36	33	41	38
R50		30	35	40	40	37	42	35	39	41	36	32
R51		33	33	37	34	41	37	37	37	43	38	33
R52		40	41	37	36	37	38	39	41	34	40	37
R53		37	39	38	39	37	33	45	32	30	37	36
R54		44	42	35	34	35	32	34	38	37	36	35
R55		40	40	35	41	40	35	40	35	38	36	39
R56		38	36	36	40	38	38	40	32	30	32	40
R57		34	43	42	42	38	38	40	34	39	41	35
R58		38	32	36	38	44	38	30	38	38	33	33
R59		39	40	39	38	41	31	40	38	39	31	33
R60		34	36	42	36	37	33	38	40	42	40	36
R61		41	41	40	42	33	39	41	32	27	32	35
R62		43	40	38	39	43	40	41	37	38	38	40
R63		37	39	40	35	40	34	35	41	31	38	33
R64		39	39	38	39	39	40	39	40	37	38	36
R65		35	41	38	38	41	31	38	35	36	35	35
R66		38	40	39	43	35	39	39	35	33	39	37
R67		42	44	40	42	41	40	39	32	29	37	35
R68		40	39	36	36	35	40	35	34	39	36	37
R69		36	35	36	37	37	40	33	34	35	40	39
R70		38	33	37	32	37	41	41	35	39	36	31
R71		39	40	35	35	37	38	39	39	38	44	39
R72		38	43	48	38	39	38	33	43	39	36	33
R73		39	41	39	34	38	31	41	35	41	40	38
R74		41	41	38	36	43	36	40	35	30	38	38
R75		42	41	34	39	37	38	39	38	39	40	34
R76		31	33	38	36	33	40	41	39	31	41	34
R77		32	32	36	39	40	35	35	34	38	33	39
R78		37	36	37	35	41	43	38	43	39	38	32
R79		38	38	32	42	34	39	37	38	40	40	37
R80		38	38	37	39	41	33	34	37	40	38	36
R81		34	39	33	32	34	36	38	38	33	35	40
R82		41	38	43	39	39	41	33	36	37	36	42
R83		36	39	38	45	34	37	39	36	39	40	38
R84		35	43	35	37	31	38	39	32	37	38	33
R85		44	38	41	38	37	39	41	38	37	35	32
R86		40	42	36	38	36	40	41	34	37	35	35
R87		40	41	38	37	33	29	40	36	38	32	31
R88		36	40	41	36	34	39	27	33	33	37	38
R89		39	40	37	45	39	37	32	34	31	37	37
R90		39	40	31	40	41	33	35	40	38	37	42
R91		41	37	33	37	36	35	40	32	38	31	38
R92		38	33	34	40	33	37	36	43	35	35	38
R93		38	41	40	35	36	38	38	37	38	36	35
R94		40	36	37	41	40	35	33	36	35	33	32
R95		39	37	39	35	39	44	42	31	34	38	36
R96		41	38	39	38	44	37	40	36	36	30	39
R97		44	34	39	40	34	36	38	34	38	32	38
R98		39	34	38	32	37	39	40	37	32	34	37
R99		37	36	34	39	41	36	40	39	34	36	39
R100		36	37	40	39	38	33	41	35	31	39	38
R101		39	38	31	38	36	33	35	40	41	39	37
R102		38	33	38	34	38	37	34	34	32	42	37
R103		31	41	42	43	39	38	41	36	35	36	39
R104		29	36	44	36	43	35	35	31	38	40	40
R105		45	45	36	34	36	33	34	39	35	32	36
R106		40	39	39	31	42	39	31	45	35	40	38
R107		35	40	42	36	42	43	35	35	31	35	42
R108		40	44	40	42	35	44	44	38	39	38	37
R109		39	45	33	37	37	39	35	38	39	35	35
R110		38	33	33	35	35	39	36	36	34	38	36
R111		39	42	41	30	39	43	38	40	42	36	33
R112		39	37	33	39	36	40	39	39	32	41	39
R113		46	42	42	38	37	39	42	39	38	33	36
R114		41	36	42	37	38	30	39	37	35	38	38
R115		36	43	41	38	34	37	43	37	33	38	31
R116		37	40	40	32	40	43	37	38	34	44	42
R117		42	39	39	42	32	40	41	39	35	35	35
R118		41	42	33	39	36	41	35	39	35	42	34
R119		40	37	40	37	36	37	41	38	38	39	39
R120		39	33	39	39	39	39	36	36	37	37	35
R121		41	38	38	33	28	34	40	35	40	34	33
R122		36	38	41	32	37	32	38	37	38	32	37
R123		40	36	39	42	40	41	37	36	34	41	35
R124		42	42	35	41	42	37	40	38	40	37	32
R125		36	39	38	35	39	35	34	41	39	37	38
R126		41	35	39	43	38	41	36	38	38	38	38
R127		37	37	41	36	32	32	41	37	39	37	33
R128		38	43	36	37	34	42	43	34	36	34	42
R129		42	38	40	35	37	38	36	38	37	33	42
R130		38	43	32	37	35	42	39	40	34	42	38
R131		40	36	37	37	42	29	35	38	37	35	36
R132		38	31	38	37	39	42	36	39	36	36	38
R133		38	39	35	43	41	37	37	42	34	38	39
R134		31	34	40	42	37	31	35	38	36	33	30
R135		36	43	40	43	36	38	34	42	38	39	34
R136		36	40	40	39	33	39	36	33	32	32	39
R137		32	38	37	34	38	36	37	37	43	34	36
R138		45	33	36	41	33	39	41	34	40	34	35
R139		43	36	45	38	40	36	37	36	37	37	36
R140		42	38	35	38	38	38	38	33	37	38	38
R141		46	41	39	38	40	38	42	35	39	36	31
R142		37	43	34	33	38	45	38	39	37	30	32
R143		38	36	35	32	40	35	35	39	40	35	33
R144		41	39	35	37	37	37	37	40	39	31	40
R145		37	40	38	39	37	33	37	38	37	37	35
R146		40	38	42	36	31	37	38	38	40	33	33
R147		39	41	35	33	38	36	33	37	40	36	34
R148		39	34	38	41	34	39	37	36	38	33	36
R149		43	39	35	41	37	35	33	40	38	41	31
R150		37	44	40	35	38	37	34	37	40	38	37
R151		37	42	40	36	41	43	37	34	34	38	38
R152		35	39	42	38	41	38	36	39	32	35	37
R153		38	36	43	42	40	35	42	36	38	35	33
R154		34	40	39	40	36	36	38	39	35	37	34
R155		37	38	39	36	41	36	36	35	41	33	40
R156		29	37	37	42	39	40	43	41	35	32	37
R157		40	47	37	35	38	40	36	38	38	35	36
R158		36	42	39	34	39	34	32	33	34	35	40
R159		35	39	43	33	38	39	36	34	31	38	38
R160		42	37	38	33	41	34	36	36	37	37	42
R161		34	37	32	35	42	40	37	43	37	38	38
R162		37	39	39	41	36	37	37	35	43	38	38
R163		39	39	43	42	36	41	34	32	36	36	30
R164		31	40	38	39	37	41	38	38	34	36	37
R165		38	41	40	40	40	42	36	40	34	37	41
R166		37	40	38	36	36	42	33	39	37	37	37
R167		41	43	33	37	37	33	40	43	36	38	40
R168		40	41	37	41	36	38	35	36	38	39	35
R169		44	35	42	38	39	37	32	35	40	35	29
R170		40	38	35	39	36	37	40	37	37	33	39
R171		36	32	35	34	31	36	37	33	37	36	35
R172		38	34	42	40	41	36	34	38	41	35	40
R173		40	33	37	35	32	38	38	40	35	35	36
R174		36	34	33	38	36	33	35	39	33	37	35
R175		41	37	32	43	39	33	35	42	37	38	36
